store_id, store_name, address, city, state, country, zip_code, phone
1, ShopEase Nottingham Store, 3713 Kevin Street Apt. 022, Nashstad, IN 21766, Nottingham, Mansfield, United Kingdom, 552 7MN, +447984244590
2, ShopEase Leeds Store, 2146 Brown Haven Suite 135, Fernandezmouth, TX 95114, Leeds, Calderdale, United Kingdom, 359 1AB, +447763153129
3, ShopEase Manchester Store, PSC 2678, Box 2485, APO AA 48200, Manchester, Oldham, United Kingdom, 434 6KL, +447477418535
4, ShopEase Sheffield Store, 3432 Mark Pass Apt. 900, Padillaland, FL 12676, Sheffield, Doncaster, United Kingdom, 923 4GH, +447629337852
5, ShopEase Sheffield Store, 7961 Garcia Grove, Kingchester, MI 23673, Sheffield, Sheffield, United Kingdom, 168 5IJ, +447357593012
6, ShopEase Southampton Store, 7530 Clark Pass, West Justinville, HI 14851, Southampton, Test Valley, United Kingdom, 964 5IJ, +447089721805
7, ShopEase Birmingham Store, 216 Moore Ridges Apt. 100, Lake Williamside, PA 38235, Birmingham, Sandwell, United Kingdom, 712 1AB, +447294282683
8, ShopEase Manchester Store, 65422 Sara Radial Apt. 303, Monicastad, PA 66639, Manchester, Salford, United Kingdom, 879 8OP, +447954464530
9, ShopEase Leeds Store, 933 Wright Plains, South Debra, MS 13478, Leeds, Calderdale, United Kingdom, 956 8OP, +447207898046
10, ShopEase Sheffield Store, 210 Goodman Stravenue Apt. 094, Goodwinport, MN 63332, Sheffield, Barnsley, United Kingdom, 276 2CD, +447126680243
